time,open,high,low,close,volume,RSI,SMA_20,SMA_50,SMA_200,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,ADX_14,ADXR_14_2,DMP_14,DMN_14,ADXR_14,Vol_SMA_20,Vol_Ratio,Inertia,Pct_Return,Log_Return,vni_close,vni_pct_return,RS,Alpha
2026-01-05 07:00:00,26.4,26.55,25.7,25.95,46487900,-0.9144813189059776,26.535,26.689,25.181150000000006,-0.38393124996100003,-0.025586562298917648,-0.10262235727796709,25.966437639397878,26.535,27.103562360602123,4.285376752230054,-0.01445544107111713,-1.1437521362480978,12.795541721125385,25.078146647765482,27.555098992754967,12.859402160743112,30515415.0,1.1325678862589659,-0.5072760004935132,-0.017045454545454475,-0.017192400540372764,1.79,0.00561797752808979,-1.139982652290751,-1.4587136363676079
2026-01-06 07:00:00,26.0,26.2,25.35,25.95,39616600,-0.9144813189059776,26.482499999999998,26.679999999999996,25.197850000000006,-0.4433238376031732,-0.046775432111202775,-0.1143162153057678,25.900963921562006,26.482499999999998,27.06403607843799,4.3918518148814645,0.04216082222250437,-1.1402468787777573,12.876343463658738,22.2889206797709,29.070086679343138,13.246665264447255,31613140.0,0.5319961320065713,-0.4730913478041418,0.0,0.0,1.82,0.016759776536312776,-1.2448665029988173,-1.083017940797898
2026-01-07 07:00:00,25.95,26.75,25.95,26.6,37249700,-0.1904635882839106,26.475,26.686999999999998,25.217800000000004,-0.39288616990174086,-0.01508047917353586,-0.11808633509915176,25.904220293210305,26.475,27.0457797067897,4.311839144775803,0.6094993379346404,-1.1991475604549902,12.18323211939118,26.995908217014772,26.124986442580227,12.507931920492503,32402845.0,0.30179922189857783,-0.03529438488379821,0.025048169556840083,0.02473960617575575,1.86,0.0219780219780219,-1.2260664923281182,0.17891495595480886
2026-01-08 07:00:00,26.7,26.8,26.4,26.4,37518600,-0.3843453543656362,26.475,26.679,25.236750000000004,-0.37944522310194395,-0.006111115255025473,-0.11961411391290813,25.904220293210305,26.475,27.0457797067897,4.311839144775803,0.43430039723921326,-1.2471405369173922,11.887629453039754,26.246038201519536,24.773546871135085,11.86648741211656,32283185.0,0.3297782014123312,-0.16849511523335298,-0.007518796992481258,-0.007547205635382966,1.86,0.0,-1.2732610018738726,-0.49494226199680436
2026-01-09 07:00:00,26.8,26.8,26.2,26.2,35089300,-0.5723137143320758,26.452499999999997,26.658,25.254500000000007,-0.39514348437948504,-0.011841970675858501,-0.12257460658187276,25.87532448168162,26.452499999999997,27.029675518318374,4.363863667467174,0.2812623786126046,-1.294102214738037,11.18421744534815,24.221966473751493,25.433670187303377,11.41543563021937,33052250.0,0.10635302366347268,-0.28685380219549833,-0.007575757575757569,-0.007604599385219304,1.87,0.005376344086021501,-1.353516905807294,-0.8407058595001987
2026-01-12 07:00:00,26.35,27.6,26.35,27.5,83534900,0.5321003170625643,26.499999999999996,26.670000000000005,25.277300000000007,-0.21736692722899426,0.06926726809597443,-0.10525778955787916,25.756608058325828,26.499999999999996,27.243391941674165,5.610505220182406,1.1725927091353292,-1.2635417648556089,11.068385448225484,29.56599181595052,21.305040151372037,11.30284546549467,36371885.0,2.8509515745361815,0.5468305050636606,0.04961832061068705,0.04842659390547446,1.88,0.0053475935828875,-1.0827257213141517,2.800829506412973
2026-01-13 07:00:00,27.75,27.9,27.0,27.25,45777400,0.2946567214198636,26.5625,26.681000000000004,25.299050000000005,-0.11336345636560566,0.10147906217980042,-0.07988802401292906,25.78663036906369,26.5625,27.33836963093631,5.8418419270498605,0.9430512373388902,-1.2042853043189297,11.150079242275023,29.94659918804054,19.152632330931077,11.605968649623083,36806345.0,0.5110356354293674,0.3378243668365376,-0.009090909090909038,-0.009132483563272474,1.9,0.010638297872340496,-1.2080580610540794,-1.2719859831672917
2026-01-14 07:00:00,27.45,27.6,27.0,27.25,53908300,0.29465672141986465,26.6125,26.705000000000005,25.322250000000004,-0.032323672695965935,0.11707741440537102,-0.05061867041158631,25.793723634414853,26.6125,27.43127636558515,6.1533216765440875,0.8893004407524653,-1.149261448106299,11.718751892901377,27.92137793730294,17.857382818270015,11.990108121081377,38304790.0,0.8746274596410822,0.3038388038713687,0.0,0.0,1.89,-0.0052631578947368585,-1.1747518271870985,0.3184733246358151
2026-01-15 07:00:00,27.25,27.9,27.25,27.6,61937700,0.551447375622931,26.657500000000002,26.722,25.348850000000006,0.08023043763292811,0.14351443095774422,-0.014740062672150257,25.7271491889735,26.657500000000002,27.587850811026506,6.98003046817221,1.0065293590490294,-1.0672697368665847,12.657288125829318,29.25470413177341,16.551486326719672,12.357710307299545,39935180.0,1.193751435300781,0.5048662435551972,0.012844036697247763,0.012762251613851291,1.86,-0.015873015873015817,-0.9900939445993469,1.8110277628767837
2026-01-16 07:00:00,27.8,28.25,27.3,27.6,65577000,0.5514473756229306,26.7175,26.747999999999998,25.374450000000007,0.16576324203481796,0.1526957594832456,0.023433877198661142,25.705844244112765,26.7175,27.729155755887238,7.572982171889111,0.936166153785205,-0.9582213534191278,13.747480938961107,30.03788851302411,14.843013906044341,12.755899528392202,42386700.0,1.1852109798732007,0.46386871512268113,0.0,0.0,1.88,0.010752688172043001,-1.0593795011665168,-0.7007400068753871
