time,open,high,low,close,volume,RSI,SMA_20,SMA_50,SMA_200,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,ADX_14,ADXR_14_2,DMP_14,DMN_14,ADXR_14,Vol_SMA_20,Vol_Ratio,Inertia,Pct_Return,Log_Return,vni_close,vni_pct_return,RS,Alpha
2020-10-20 07:00:00,10.21,10.87,10.18,10.87,12964110,0.7459650532598759,10.724,9.3398,6.8062,0.4325003638056198,-0.1303975967326591,0.4789978475581593,10.088277452110814,10.724,11.359722547889186,11.856071389205258,0.6148299682658483,0.8218769853891144,37.04395136437115,26.140469613240853,18.392073517987853,39.37252917661439,13756099.0,-0.12689922340562296,0.11967297107627599,0.06464250734573929,0.06263906895654371,0.94,0.0,-0.9933691714321172,2.7809893045987977
2020-10-21 07:00:00,11.01,11.01,10.53,10.6,9246450,0.3323827168310902,10.759,9.3928,6.832049999999999,0.39445600675571124,-0.12639814854614217,0.4473983104216238,10.24980455618694,10.759,11.268195443813061,9.465479018738936,0.3438713445574606,0.7275045884640061,35.410868406965456,26.380727443488357,16.93187789980039,39.60458448511088,13730869.0,-0.7366701742964148,-0.24840982690202323,-0.02483900643974235,-0.025152700015096553,0.94,0.0,-1.0675184814042,-1.0795181001977747
2020-10-22 07:00:00,10.63,10.8,10.56,10.77,8271810,0.523876197797933,10.776499999999999,9.451400000000001,6.859399999999999,0.37829979306714806,-0.11049521424148856,0.41977450686125173,10.292948446116508,10.776499999999999,11.260051553883489,8.974185568291942,0.4932788965852799,0.6398730770335488,34.282051890302576,25.299189781718347,16.237717222375796,38.85694764148126,13021461.0,-0.8231687103359627,-0.06464278850857864,0.016037735849056656,0.015910490050275786,0.95,0.010638297872340496,-1.0519659165835453,0.22506128878220935
2020-10-23 07:00:00,10.8,10.94,10.73,10.73,10970380,0.46084332605286454,10.781499999999998,9.507000000000001,6.88645,0.3563851413337708,-0.10111493199900523,0.3944957738615005,10.302278042854347,10.781499999999998,11.260721957145648,8.889708429173135,0.4462670697449442,0.5906761551574737,33.554608621647944,26.83785782791743,15.63375346836746,38.32574011139988,12889271.5,-0.33384627970164177,-0.1187485907838677,-0.003714020427112219,-0.0037209345256899624,0.96,0.010526315789473717,-1.0932075556152068,-0.6222589061302406
2020-10-26 07:00:00,10.73,11.01,10.63,10.63,10384870,0.2995904869811978,10.752,9.5634,6.9133,0.32361109397424265,-0.09991325004524204,0.36951746135019,10.315719066848482,10.752,11.18828093315152,8.115344738681523,0.3601818338487534,0.5067058137458226,32.68512889031675,25.024045270783176,16.355689293739076,37.57275820670347,12562227.0,-0.3892669282152889,-0.20392251699749256,-0.009319664492078217,-0.009363364288750474,0.95,-0.01041666666666663,-1.0900089933567458,0.03944099057631389
2020-10-27 07:00:00,10.63,10.73,10.56,10.7,7931000,0.39154869668745806,10.757,9.6192,6.940699999999999,0.30139549225244483,-0.09282402510410448,0.34631145507416383,10.325791172827412,10.757,11.188208827172588,8.017269260436702,0.43390673334107493,0.40197792396514365,31.905215960077815,24.234937238955144,17.1383876010588,37.04694278711056,11804514.5,-0.7401708368747371,-0.12551806801461265,0.0065851364063969076,0.006563549114003847,0.95,0.0,-1.0709874549701455,0.2762159616748899
2020-10-28 07:00:00,10.63,10.66,10.39,10.42,11073480,-0.05853090856069951,10.732500000000002,9.665799999999999,6.965949999999999,0.24921970506770363,-0.10454084877154246,0.3201762428812782,10.282616974267661,10.732500000000002,11.182383025732342,8.383564420821624,0.15268749638720006,0.2420923870218729,30.66963638978811,22.821671433765502,19.336890345663136,36.24130760142977,11596244.0,-0.09858168578628043,-0.4342988355544312,-0.0261682242990654,-0.02651670514263961,0.92,-0.03157894736842093,-1.054742352310782,0.22554816234810074
2020-10-29 07:00:00,10.28,10.49,10.18,10.32,8660480,-0.2079008417223058,10.698,9.7112,6.9906999999999995,0.19395804943449793,-0.11570527488738414,0.2912499241594322,10.232174191128802,10.698,11.163825808871199,8.708652250349564,0.09426893830122891,0.047050023364640335,29.1507474319859,21.47313673789821,22.197148982430534,35.25721829091335,11480453.0,-0.553160167028807,-0.5148901680362974,-0.009596928982725461,-0.009643276271804117,0.92,0.0,-1.0828020750860465,-0.4219280528460753
2020-10-30 07:00:00,10.46,10.6,10.32,10.46,8952690,0.007104590048612323,10.6825,9.76,7.0166499999999985,0.16329860701141985,-0.11035825621179213,0.26366036010648414,10.206248186907741,10.6825,11.158751813092257,8.91648608644527,0.2664050887750674,-0.12220405644666436,27.4830485067911,22.441306350683128,20.990664122080613,34.50927486157853,10867736.0,-0.39581335621555375,-0.3268438545291118,0.013565891472868241,0.01347469858336019,0.93,0.010869565217391353,-1.0750781083866185,0.10844074477963624
2020-11-02 07:00:00,10.53,11.12,10.46,11.12,15608300,0.8162764767573255,10.7,9.819999999999999,7.045349999999999,0.20944246511207848,-0.06150576940100563,0.24828391775623274,10.185985869536868,10.7,11.21401413046313,9.607740756320213,0.9085490797904487,-0.1429777280262107,26.389542433128288,29.27303599789131,18.44565497254903,34.04670232358002,11077804.0,0.9305864895179305,0.4520446355355399,0.06309751434034405,0.06118683018565937,0.93,0.0,-0.8918752732345674,2.7143335599051386
